시도,연령별,인구수,남자인구수,여자인구수
울산광역시,80세,3085,1071,2014
울산광역시,81세,2783,908,1875
울산광역시,82세,2551,813,1738
울산광역시,83세,2302,737,1565
울산광역시,84세,1905,574,1331
울산광역시,85세,1651,465,1186
울산광역시,86세,1325,287,1038
울산광역시,87세,1060,259,801
울산광역시,88세,963,209,754
울산광역시,89세,805,152,653
울산광역시,90세,637,102,535
울산광역시,91세,444,62,382
울산광역시,92세,366,62,304
울산광역시,93세,281,40,241
울산광역시,94세,243,40,203
울산광역시,95세,174,24,150
울산광역시,96세,110,15,95
울산광역시,97세,80,14,66
울산광역시,98세,51,9,42
울산광역시,99세,32,6,26
울산광역시,100세 이상,153,28,125
세종특별자치시,계,280100,139734,140366
세종특별자치시,0세,3422,1712,1710
세종특별자치시,1세,3850,2014,1836
세종특별자치시,2세,4115,2135,1980
세종특별자치시,3세,3846,1980,1866
세종특별자치시,4세,3993,2018,1975
세종특별자치시,5세,4338,2191,2147
세종특별자치시,6세,4229,2177,2052
세종특별자치시,7세,4248,2174,2074
세종특별자치시,8세,4040,2061,1979
세종특별자치시,9세,4091,2039,2052
세종특별자치시,10세,3988,1966,2022
세종특별자치시,11세,3661,1858,1803
세종특별자치시,12세,3289,1642,1647
세종특별자치시,13세,3454,1717,1737
세종특별자치시,14세,3301,1655,1646
세종특별자치시,15세,2965,1509,1456
세종특별자치시,16세,2987,1511,1476
세종특별자치시,17세,3017,1584,1433
세종특별자치시,18세,2699,1328,1371
세종특별자치시,19세,2702,1394,1308
세종특별자치시,20세,2716,1438,1278
세종특별자치시,21세,2707,1442,1265
세종특별자치시,22세,2901,1557,1344
세종특별자치시,23세,3021,1570,1451
세종특별자치시,24세,2865,1510,1355
세종특별자치시,25세,3134,1546,1588
세종특별자치시,26세,3207,1571,1636
세종특별자치시,27세,3018,1446,1572
세종특별자치시,28세,3169,1470,1699
세종특별자치시,29세,3528,1766,1762
세종특별자치시,30세,3651,1668,1983
세종특별자치시,31세,3959,1925,2034
세종특별자치시,32세,4318,2115,2203
세종특별자치시,33세,4604,2240,2364
세종특별자치시,34세,5376,2587,2789
세종특별자치시,35세,6286,2994,3292
세종특별자치시,36세,6282,3053,3229
세종특별자치시,37세,6166,3028,3138
세종특별자치시,38세,6365,3096,3269
세종특별자치시,39세,5400,2675,2725
세종특별자치시,40세,5817,2901,2916
세종특별자치시,41세,5560,2800,2760
세종특별자치시,42세,5505,2770,2735
세종특별자치시,43세,5785,3019,2766
세종특별자치시,44세,5603,2973,2630
세종특별자치시,45세,5157,2826,2331
세종특별자치시,46세,5291,2878,2413
세종특별자치시,47세,4665,2594,2071
세종특별자치시,48세,4425,2392,2033
세종특별자치시,49세,4312,2285,2027
세종특별자치시,50세,3709,1898,1811
세종특별자치시,51세,3390,1803,1587
세종특별자치시,52세,3469,1804,1665
세종특별자치시,53세,3331,1758,1573
세종특별자치시,54세,3093,1616,1477
세종특별자치시,55세,3473,1825,1648
세종특별자치시,56세,3646,1847,1799
세종특별자치시,57세,3530,1809,1721
세종특별자치시,58세,3145,1575,1570
세종특별자치시,59세,2885,1459,1426
세종특별자치시,60세,2909,1462,1447
세종특별자치시,61세,2602,1333,1269
세종특별자치시,62세,2785,1378,1407
세종특별자치시,63세,2387,1189,1198
세종특별자치시,64세,1867,891,976
세종특별자치시,65세,2088,1004,1084
세종특별자치시,66세,1527,737,790
세종특별자치시,67세,1716,853,863
세종특별자치시,68세,1712,808,904
세종특별자치시,69세,1507,737,770
세종특별자치시,70세,1499,707,792
세종특별자치시,71세,1181,565,616
세종특별자치시,72세,1070,493,577
세종특별자치시,73세,1156,511,645
세종특별자치시,74세,1134,487,647
세종특별자치시,75세,1452,620,832
세종특별자치시,76세,1183,499,684
세종특별자치시,77세,1015,421,594
세종특별자치시,78세,1047,419,628
세종특별자치시,79세,973,382,591
세종특별자치시,80세,874,331,543
세종특별자치시,81세,854,317,537
세종특별자치시,82세,787,284,503
세종특별자치시,83세,712,251,461
세종특별자치시,84세,599,177,422
세종특별자치시,85세,538,152,386
세종특별자치시,86세,429,115,314
세종특별자치시,87세,377,106,271
세종특별자치시,88세,325,75,250
세종특별자치시,89세,273,65,208
세종특별자치시,90세,217,46,171
세종특별자치시,91세,149,41,108
세종특별자치시,92세,118,20,98
세종특별자치시,93세,84,15,69
세종특별자치시,94세,68,16,52
세종특별자치시,95세,57,12,45
세종특별자치시,96세,46,9,37
세종특별자치시,97세,13,2,11
세종특별자치시,98세,10,3,7
세종특별자치시,99세,12,1,11
세종특별자치시,100세 이상,49,6,43
경기도,계,12873895,6475323,6398572
경기도,0세,92366,47654,44712
경기도,1세,111697,57159,54538
경기도,2세,122017,62378,59639
경기도,3세,121953,62421,59532
경기도,4세,122070,62607,59463
경기도,5세,135985,69690,66295
경기도,6세,132522,67933,64589
경기도,7세,131877,67845,64032
경기도,8세,125113,64318,60795
경기도,9세,130900,67184,63716
경기도,10세,137072,70209,66863
경기도,11세,124686,64211,60475
경기도,12세,118632,60963,57669
경기도,13세,128844,66288,62556
경기도,14세,132595,68443,64152
경기도,15세,131359,68142,63217
경기도,16세,146849,75963,70886
경기도,17세,166841,86763,80078
경기도,18세,159741,82630,77111
경기도,19세,164017,85178,78839
경기도,20세,169334,87804,81530
경기도,21세,170717,89434,81283
경기도,22세,176835,93119,83716
경기도,23세,179062,94250,84812
경기도,24세,179031,93908,85123
경기도,25세,184250,96586,87664
경기도,26세,179455,93811,85644
경기도,27세,162869,86046,76823
경기도,28세,160248,83247,77001
경기도,29세,159723,83541,76182
경기도,30세,157194,80760,76434
경기도,31세,160011,82636,77375
경기도,32세,168696,86247,82449
경기도,33세,171165,87555,83610
경기도,34세,195428,99602,95826
경기도,35세,215990,110167,105823
경기도,36세,224594,114120,110474
경기도,37세,224461,113959,110502
경기도,38세,222969,111954,111015
경기도,39세,194481,99741,94740
경기도,40세,211406,105674,105732
경기도,41세,207291,105775,101516
경기도,42세,213832,107815,106017
경기도,43세,230642,117474,113168
경기도,44세,238546,119986,118560
경기도,45세,239627,122632,116995
경기도,46세,250401,127805,122596
경기도,47세,242032,123415,118617
경기도,48세,241733,121770,119963
경기도,49세,238450,119465,118985
경기도,50세,218651,108326,110325
경기도,51세,207444,108485,98959
경기도,52세,216017,109510,106507
경기도,53세,212026,108782,103244
경기도,54세,196300,101669,94631
경기도,55세,215359,111630,103729
경기도,56세,217964,110731,107233
경기도,57세,217415,110670,106745
경기도,58세,196184,99966,96218
경기도,59세,180396,92311,88085
경기도,60세,171545,87222,84323
경기도,61세,152573,76612,75961
경기도,62세,155208,76879,78329
경기도,63세,130556,65275,65281
경기도,64세,110813,54426,56387
경기도,65세,122889,60561,62328
경기도,66세,79803,38751,41052
경기도,67세,89498,42899,46599
경기도,68세,89684,43081,46603
경기도,69세,89808,42917,46891
경기도,70세,92178,43267,48911
경기도,71세,75163,35195,39968
경기도,72세,66568,30851,35717
경기도,73세,67406,30228,37178
경기도,74세,66541,29357,37184
경기도,75세,79071,34980,44091
경기도,76세,65354,28244,37110
경기도,77세,56875,24146,32729
경기도,78세,56859,23552,33307
경기도,79세,51299,20732,30567
경기도,80세,46421,18422,27999
경기도,81세,42418,16237,26181
경기도,82세,39286,14234,25052
경기도,83세,33260,11711,21549
경기도,84세,27481,9242,18239
경기도,85세,24374,7907,16467
경기도,86세,19206,5838,13368
경기도,87세,17055,4718,12337
경기도,88세,15065,4273,10792
경기도,89세,12133,3042,9091
경기도,90세,9682,2326,7356
경기도,91세,7114,1697,5417
경기도,92세,5691,1197,4494
경기도,93세,4268,1092,3176
경기도,94세,3927,1009,2918
경기도,95세,3009,748,2261
경기도,96세,1972,486,1486
경기도,97세,1437,357,1080
경기도,98세,999,268,731
경기도,99세,672,158,514
경기도,100세 이상,3369,829,2540
강원도,계,1550142,780635,769507
강원도,0세,8764,4534,4230
강원도,1세,10322,5313,5009
강원도,2세,11138,5639,5499
강원도,3세,11074,5660,5414
강원도,4세,11353,5796,5557
강원도,5세,12963,6559,6404
강원도,6세,12844,6645,6199
강원도,7세,12938,6668,6270
강원도,8세,12509,6412,6097
강원도,9세,12821,6609,6212
강원도,10세,14000,7309,6691
강원도,11세,12660,6568,6092
강원도,12세,12830,6682,6148
강원도,13세,13832,7221,6611
강원도,14세,14357,7439,6918
강원도,15세,15032,7858,7174
강원도,16세,16885,8900,7985
강원도,17세,19142,10139,9003
강원도,18세,18727,9745,8982
강원도,19세,19481,10331,9150
강원도,20세,20319,10547,9772
강원도,21세,20377,10936,9441
강원도,22세,20641,11511,9130
강원도,23세,20657,12081,8576
강원도,24세,20132,12092,8040
강원도,25세,19404,11393,8011
강원도,26세,17762,10060,7702
강원도,27세,15951,9097,6854
강원도,28세,15274,8426,6848
강원도,29세,15397,8405,6992
강원도,30세,14822,7894,6928
강원도,31세,14998,8114,6884
강원도,32세,15778,8453,7325
강원도,33세,15629,8242,7387
강원도,34세,18150,9492,8658
강원도,35세,20046,10226,9820
강원도,36세,20303,10372,9931
강원도,37세,20585,10489,10096
강원도,38세,20559,10375,10184
강원도,39세,19318,9921,9397
강원도,40세,20344,10306,10038
강원도,41세,20287,10367,9920
강원도,42세,21494,10966,10528
강원도,43세,23926,12272,11654
강원도,44세,25375,13195,12180
강원도,45세,24687,13120,11567
강원도,46세,26019,13532,12487
강원도,47세,25875,13583,12292
강원도,48세,26793,13967,12826
강원도,49세,27416,14291,13125
강원도,50세,25125,12883,12242
강원도,51세,25192,13363,11829
강원도,52세,24763,12562,12201
강원도,53세,25047,12978,12069
강원도,54세,24915,12876,12039
강원도,55세,28408,14598,13810
강원도,56세,30375,15206,15169
강원도,57세,30418,15051,15367
강원도,58세,29163,14516,14647
강원도,59세,27433,13762,13671
강원도,60세,27641,14092,13549
강원도,61세,24582,12441,12141
강원도,62세,24701,12357,12344
강원도,63세,22091,11137,10954
강원도,64세,18322,9063,9259
강원도,65세,22072,10819,11253
강원도,66세,12509,5922,6587
강원도,67세,13599,6380,7219
강원도,68세,13968,6722,7246
강원도,69세,14922,7025,7897
강원도,70세,15562,7366,8196
강원도,71세,13469,6377,7092
강원도,72세,13334,6097,7237
강원도,73세,13664,6024,7640
강원도,74세,13506,5962,7544
강원도,75세,15638,6752,8886
강원도,76세,13738,5855,7883
강원도,77세,12832,5324,7508
강원도,78세,12491,5072,7419
강원도,79세,11387,4636,6751
강원도,80세,9819,3932,5887
강원도,81세,9076,3523,5553
강원도,82세,8061,2870,5191
강원도,83세,6781,2182,4599
강원도,84세,5635,1791,3844
강원도,85세,4756,1382,3374
강원도,86세,4019,1159,2860
강원도,87세,3833,1012,2821
강원도,88세,3169,775,2394
강원도,89세,2713,655,2058
강원도,90세,2123,495,1628
강원도,91세,1573,356,1217
강원도,92세,1357,331,1026
강원도,93세,1031,302,729
강원도,94세,916,257,659
강원도,95세,617,169,448
강원도,96세,417,95,322
강원도,97세,303,71,232
강원도,98세,242,74,168
강원도,99세,147,34,113
강원도,100세 이상,697,200,497
충청북도,계,1594432,805091,789341
충청북도,0세,11022,5637,5385
충청북도,1세,12723,6549,6174
충청북도,2세,13471,6872,6599
충청북도,3세,13387,6719,6668
충청북도,4세,13606,6938,6668
충청북도,5세,15052,7649,7403
충청북도,6세,14770,7560,7210
충청북도,7세,14750,7622,7128
충청북도,8세,13950,7224,6726
충청북도,9세,14475,7500,6975
충청북도,10세,15388,7971,7417
충청북도,11세,13815,7074,6741
충청북도,12세,13537,7014,6523
충청북도,13세,14768,7771,6997
충청북도,14세,15126,7894,7232
충청북도,15세,15610,8231,7379
충청북도,16세,17657,9181,8476
충청북도,17세,19841,10398,9443
충청북도,18세,19625,10274,9351
충청북도,19세,20459,10664,9795
충청북도,20세,21250,10968,10282
충청북도,21세,21483,11568,9915
충청북도,22세,21689,11771,9918
충청북도,23세,21267,11871,9396
충청북도,24세,21088,11917,9171
충청북도,25세,20682,11665,9017
충청북도,26세,19490,10936,8554
충청북도,27세,17831,9922,7909
충청북도,28세,17493,9456,8037
충청북도,29세,17390,9330,8060
충청북도,30세,17461,9282,8179
충청북도,31세,17913,9656,8257
충청북도,32세,18397,9772,8625
충청북도,33세,19133,10128,9005
충청북도,34세,21003,10810,10193
충청북도,35세,23604,12170,11434
충청북도,36세,23230,12075,11155
충청북도,37세,23271,12034,11237
충청북도,38세,23145,11964,11181
충청북도,39세,20525,10885,9640
충청북도,40세,22324,11427,10897
충청북도,41세,22298,11613,10685
충청북도,42세,22983,11730,11253
충청북도,43세,25414,13150,12264
충청북도,44세,26583,13605,12978
충청북도,45세,25109,13218,11891
충청북도,46세,27039,14028,13011
충청북도,47세,26509,13924,12585
충청북도,48세,28823,14681,14142
충청북도,49세,28514,14401,14113
충청북도,50세,26657,13574,13083
충청북도,51세,25774,13690,12084
충청북도,52세,26605,13599,13006
충청북도,53세,25155,13062,12093
충청북도,54세,23056,12017,11039
충청북도,55세,28357,14836,13521
충청북도,56세,30680,15747,14933
충청북도,57세,28462,14291,14171
충청북도,58세,26863,13513,13350
충청북도,59세,25427,13064,12363
충청북도,60세,25729,13103,12626
충청북도,61세,23112,11752,11360
충청북도,62세,22802,11307,11495
충청북도,63세,20018,9947,10071
충청북도,64세,17328,8660,8668
충청북도,65세,19585,9739,9846
충청북도,66세,12941,6281,6660
충청북도,67세,13290,6437,6853
충청북도,68세,13625,6742,6883
충청북도,69세,13851,6789,7062
충청북도,70세,13890,6617,7273
충청북도,71세,10991,5209,5782
충청북도,72세,10758,4976,5782
충청북도,73세,11386,4982,6404
충청북도,74세,11566,4944,6622
충청북도,75세,14743,6307,8436
충청북도,76세,11865,4909,6956
충청북도,77세,10244,4248,5996
충청북도,78세,11247,4581,6666
충청북도,79세,9667,3717,5950
충청북도,80세,9104,3451,5653
충청북도,81세,8650,3129,5521
충청북도,82세,8113,2812,5301
충청북도,83세,6823,2288,4535
충청북도,84세,5799,1817,3982
충청북도,85세,4809,1426,3383
충청북도,86세,3625,984,2641
충청북도,87세,3313,839,2474
충청북도,88세,2829,693,2136
충청북도,89세,2247,564,1683
충청북도,90세,1868,440,1428
충청북도,91세,1258,312,946
충청북도,92세,1073,246,827
충청북도,93세,752,194,558
충청북도,94세,647,134,513
충청북도,95세,551,124,427
충청북도,96세,357,68,289
충청북도,97세,212,41,171
충청북도,98세,156,33,123
충청북도,99세,122,23,99
충청북도,100세 이상,477,134,343
충청남도,계,2116770,1076270,1040500
충청남도,0세,15253,7822,7431
충청남도,1세,17843,9024,8819
충청남도,2세,19327,9923,9404
충청남도,3세,19078,9689,9389
충청남도,4세,19431,9984,9447
충청남도,5세,21407,10964,10443
충청남도,6세,20925,10850,10075
충청남도,7세,20687,10731,9956
충청남도,8세,19601,10105,9496
충청남도,9세,20326,10445,9881
충청남도,10세,21362,11099,10263
충청남도,11세,19298,10041,9257
충청남도,12세,18522,9539,8983
충청남도,13세,19849,10235,9614
충청남도,14세,20180,10486,9694
충청남도,15세,20225,10687,9538
충청남도,16세,23100,11963,11137
충청남도,17세,25881,13472,12409
충청남도,18세,24650,12934,11716
충청남도,19세,25390,13369,12021
충청남도,20세,25912,13552,12360
충청남도,21세,26077,13963,12114
충청남도,22세,26092,14123,11969
충청남도,23세,25534,14130,11404
충청남도,24세,25201,13633,11568
충청남도,25세,25496,13942,11554
충청남도,26세,24215,13257,10958
충청남도,27세,23039,12758,10281
충청남도,28세,22956,12500,10456
충청남도,29세,23837,12987,10850
충청남도,30세,24342,13049,11293
충청남도,31세,24675,13352,11323
충청남도,32세,25487,13740,11747
충청남도,33세,25986,13872,12114
충청남도,34세,29923,15928,13995
충청남도,35세,33285,17697,15588
충청남도,36세,33687,18034,15653
충청남도,37세,33447,17763,15684
충청남도,38세,32418,17077,15341
충청남도,39세,29113,15920,13193
충청남도,40세,30887,16375,14512
충청남도,41세,30404,16083,14321
충청남도,42세,30841,16055,14786
충청남도,43세,33782,18012,15770
충청남도,44세,35250,18675,16575
충청남도,45세,33178,17940,15238
충청남도,46세,36556,19661,16895
충청남도,47세,34140,18372,15768
충청남도,48세,35729,18990,16739
충청남도,49세,35761,18897,16864
충청남도,50세,32872,17211,15661
충청남도,51세,30053,16316,13737
충청남도,52세,32654,17196,15458
충청남도,53세,32947,17415,15532
충청남도,54세,29279,15439,13840
충청남도,55세,34411,18282,16129
충청남도,56세,37297,19357,17940
충청남도,57세,37107,18955,18152
충청남도,58세,33297,16835,16462
충청남도,59세,30290,15336,14954
충청남도,60세,30080,15431,14649
충청남도,61세,27689,14001,13688
충청남도,62세,29691,14863,14828
충청남도,63세,25674,12633,13041
충청남도,64세,20898,10376,10522
충청남도,65세,23384,11366,12018
충청남도,66세,18734,9253,9481
충청남도,67세,20589,9919,10670
충청남도,68세,20446,10045,10401
충청남도,69세,19999,9717,10282
충청남도,70세,19734,9496,10238
충청남도,71세,15132,7413,7719
충청남도,72세,13598,6323,7275
충청남도,73세,15778,6914,8864
충청남도,74세,15485,6686,8799
충청남도,75세,20983,8785,12198
충청남도,76세,16467,6790,9677
충청남도,77세,13886,5670,8216
충청남도,78세,15956,6335,9621
충청남도,79세,14805,5789,9016
충청남도,80세,13640,5219,8421
충청남도,81세,13189,4974,8215
충청남도,82세,12416,4435,7981
충청남도,83세,10686,3831,6855
충청남도,84세,8888,3041,5847
충청남도,85세,8245,2691,5554
충청남도,86세,6030,1843,4187
충청남도,87세,5069,1463,3606
충청남도,88세,4413,1228,3185
충청남도,89세,3721,989,2732
충청남도,90세,2782,717,2065
충청남도,91세,2023,501,1522
충청남도,92세,1651,393,1258
충청남도,93세,1173,263,910
충청남도,94세,1087,227,860
충청남도,95세,849,160,689
충청남도,96세,550,121,429
충청남도,97세,358,74,284
충청남도,98세,274,54,220
충청남도,99세,172,35,137
충청남도,100세 이상,754,165,589
전라북도,계,1854607,922307,932300
전라북도,0세,11096,5664,5432
전라북도,1세,12857,6617,6240
전라북도,2세,14378,7357,7021
전라북도,3세,14545,7512,7033
전라북도,4세,14978,7712,7266
전라북도,5세,16692,8647,8045
전라북도,6세,16766,8556,8210
전라북도,7세,16795,8647,8148
전라북도,8세,15940,8198,7742
전라북도,9세,16770,8708,8062
전라북도,10세,17866,9201,8665
전라북도,11세,16234,8357,7877
전라북도,12세,16329,8579,7750
전라북도,13세,17553,9062,8491
전라북도,14세,18394,9460,8934
전라북도,15세,19110,10050,9060
전라북도,16세,21734,11161,10573
전라북도,17세,24445,12714,11731
전라북도,18세,23656,12278,11378
전라북도,19세,24635,12872,11763
전라북도,20세,24932,13042,11890
전라북도,21세,25582,13546,12036
전라북도,22세,25628,13854,11774
전라북도,23세,24538,13286,11252
전라북도,24세,22912,12581,10331
전라북도,25세,22162,11955,10207
전라북도,26세,20432,10912,9520
전라북도,27세,18414,9952,8462
전라북도,28세,17758,9433,8325
전라북도,29세,17584,9239,8345
전라북도,30세,17205,8925,8280
전라북도,31세,17773,9215,8558
전라북도,32세,18601,9539,9062
전라북도,33세,19326,9964,9362
전라북도,34세,21730,11252,10478
전라북도,35세,24134,12470,11664
전라북도,36세,24408,12626,11782
전라북도,37세,25034,12884,12150
전라북도,38세,24791,12713,12078
전라북도,39세,22955,11922,11033
전라북도,40세,25311,12864,12447
전라북도,41세,24718,12807,11911
전라북도,42세,25683,13215,12468
전라북도,43세,29747,15388,14359
전라북도,44세,30122,15437,14685
전라북도,45세,29968,15772,14196
전라북도,46세,32313,17110,15203
전라북도,47세,30846,16139,14707
전라북도,48세,30556,15973,14583
전라북도,49세,32034,16663,15371
전라북도,50세,29407,15107,14300
전라북도,51세,29134,15510,13624
전라북도,52세,29692,15327,14365
전라북도,53세,28462,14788,13674
전라북도,54세,27465,14219,13246
전라북도,55세,30697,15843,14854
전라북도,56세,32292,16326,15966
전라북도,57세,34934,17374,17560
전라북도,58세,30987,15469,15518
전라북도,59세,27150,13529,13621
전라북도,60세,28308,14388,13920
전라북도,61세,25465,12781,12684
전라북도,62세,27581,13650,13931
전라북도,63세,24281,11920,12361
전라북도,64세,19500,9612,9888
전라북도,65세,21554,10493,11061
전라북도,66세,18605,9077,9528
전라북도,67세,21299,10258,11041
전라북도,68세,19594,9180,10414
전라북도,69세,18729,8865,9864
전라북도,70세,21108,10031,11077
전라북도,71세,16631,7846,8785
전라북도,72세,13757,6215,7542
전라북도,73세,14359,6236,8123
전라북도,74세,14494,6058,8436
전라북도,75세,21887,8898,12989
전라북도,76세,16436,6696,9740
전라북도,77세,13639,5406,8233
전라북도,78세,15006,5791,9215
전라북도,79세,13673,5225,8448
전라북도,80세,12538,4628,7910
전라북도,81세,11660,4109,7551
전라북도,82세,11375,3903,7472
전라북도,83세,9812,3293,6519
전라북도,84세,8366,2688,5678
전라북도,85세,7106,2142,4964
전라북도,86세,5799,1589,4210
전라북도,87세,4929,1259,3670
전라북도,88세,4184,1172,3012
전라북도,89세,3596,911,2685
전라북도,90세,2985,719,2266
전라북도,91세,1898,457,1441
전라북도,92세,1317,291,1026
전라북도,93세,1041,258,783
전라북도,94세,1091,204,887
전라북도,95세,847,174,673
전라북도,96세,448,90,358
전라북도,97세,371,65,306
전라북도,98세,274,41,233
전라북도,99세,168,26,142
전라북도,100세 이상,706,140,566
전라남도,계,1896424,948290,948134
전라남도,0세,11940,6212,5728
전라남도,1세,13841,7041,6800
전라남도,2세,14808,7636,7172
전라남도,3세,14607,7399,7208
전라남도,4세,15001,7656,7345
전라남도,5세,16813,8523,8290
전라남도,6세,16403,8261,8142
전라남도,7세,16358,8535,7823
전라남도,8세,15436,7867,7569
전라남도,9세,16022,8290,7732
전라남도,10세,17138,8813,8325
전라남도,11세,15596,8004,7592
전라남도,12세,15145,7790,7355
전라남도,13세,16663,8732,7931
전라남도,14세,17365,8997,8368
전라남도,15세,17981,9396,8585
전라남도,16세,20755,10852,9903
전라남도,17세,23965,12549,11416
전라남도,18세,23438,12283,11155
전라남도,19세,23599,12386,11213
전라남도,20세,24616,12950,11666
전라남도,21세,24459,13274,11185
전라남도,22세,24354,13373,10981
전라남도,23세,22721,12528,10193
전라남도,24세,21237,11738,9499
전라남도,25세,20746,11238,9508
전라남도,26세,19094,10352,8742
전라남도,27세,17170,9225,7945
전라남도,28세,16663,8858,7805
전라남도,29세,16352,8808,7544
전라남도,30세,16679,8737,7942
전라남도,31세,17217,9077,8140
전라남도,32세,18241,9497,8744
전라남도,33세,18978,9929,9049
전라남도,34세,21793,11336,10457
전라남도,35세,24247,12857,11390
전라남도,36세,23874,12701,11173
전라남도,37세,24363,12796,11567
전라남도,38세,24723,12845,11878
전라남도,39세,22120,11857,10263
전라남도,40세,24323,12657,11666
전라남도,41세,23694,12860,10834
전라남도,42세,24361,12898,11463
전라남도,43세,27148,14666,12482
전라남도,44세,28607,15280,13327
전라남도,45세,29059,15784,13275
전라남도,46세,30994,16966,14028
전라남도,47세,30611,16539,14072
전라남도,48세,30289,16365,13924
전라남도,49세,32205,17461,14744
전라남도,50세,30436,16393,14043
전라남도,51세,30576,17069,13507
전라남도,52세,31010,16696,14314
전라남도,53세,29918,15912,14006
전라남도,54세,30496,16366,14130
전라남도,55세,31368,16665,14703
전라남도,56세,33342,17158,16184
전라남도,57세,36152,18522,17630
전라남도,58세,33096,16827,16269
전라남도,59세,30138,15644,14494
전라남도,60세,29674,15227,14447
전라남도,61세,25901,13242,12659
전라남도,62세,27818,14048,13770
전라남도,63세,24227,12137,12090
전라남도,64세,20009,9848,10161
전라남도,65세,23880,11660,12220
전라남도,66세,21149,10506,10643
전라남도,67세,21662,10522,11140
전라남도,68세,21877,10678,11199
전라남도,69세,21012,10093,10919
전라남도,70세,23093,10794,12299
전라남도,71세,18138,8402,9736
전라남도,72세,17136,7476,9660
전라남도,73세,17108,7335,9773
전라남도,74세,17266,7104,10162
전라남도,75세,25005,10151,14854
전라남도,76세,20581,8250,12331
전라남도,77세,18848,7168,11680
전라남도,78세,18507,6990,11517
전라남도,79세,17167,6154,11013
전라남도,80세,15572,5413,10159
전라남도,81세,13690,4559,9131
전라남도,82세,12751,4079,8672
전라남도,83세,11333,3489,7844
전라남도,84세,9185,2712,6473
전라남도,85세,8327,2375,5952
전라남도,86세,6673,1755,4918
전라남도,87세,6435,1463,4972
전라남도,88세,5350,1381,3969
전라남도,89세,3834,927,2907
전라남도,90세,2989,664,2325
전라남도,91세,2162,434,1728
전라남도,92세,1736,358,1378
전라남도,93세,1231,261,970
전라남도,94세,1494,224,1270
전라남도,95세,1038,168,870
전라남도,96세,563,88,475
전라남도,97세,449,55,394
전라남도,98세,275,49,226
전라남도,99세,196,29,167
전라남도,100세 이상,739,96,643
경상북도,계,2691706,1353164,1338542
경상북도,0세,17336,8948,8388
경상북도,1세,20532,10560,9972
경상북도,2세,22055,11311,10744
경상북도,3세,21477,11111,10366
경상북도,4세,21676,11259,10417
경상북도,5세,23880,12362,11518
경상북도,6세,22826,11838,10988
경상북도,7세,22302,11529,10773
경상북도,8세,21228,11075,10153
경상북도,9세,22139,11564,10575
경상북도,10세,23258,12029,11229
경상북도,11세,21033,11030,10003
경상북도,12세,20767,10825,9942
경상북도,13세,21938,11638,10300
경상북도,14세,23182,12202,10980
경상북도,15세,23649,12545,11104
경상북도,16세,27371,14453,12918
경상북도,17세,31584,16926,14658
경상북도,18세,30733,16400,14333
경상북도,19세,30881,16446,14435
경상북도,20세,32917,17556,15361
경상북도,21세,33197,18182,15015
경상북도,22세,33635,18824,14811
경상북도,23세,32622,18487,14135
경상북도,24세,31527,17994,13533
경상북도,25세,31360,17614,13746
경상북도,26세,29438,16393,13045
경상북도,27세,27123,15377,11746
경상북도,28세,26883,15132,11751
경상북도,29세,26688,14973,11715
경상북도,30세,27358,14770,12588
경상북도,31세,27721,14975,12746
경상북도,32세,28730,15381,13349
경상북도,33세,29097,15282,13815
경상북도,34세,33031,17258,15773
경상북도,35세,37204,19286,17918
경상북도,36세,38159,19832,18327
경상북도,37세,37736,19804,17932
경상북도,38세,37257,19418,17839
경상북도,39세,32794,17559,15235
경상북도,40세,35716,18479,17237
경상북도,41세,34953,18258,16695
경상북도,42세,37399,19255,18144
경상북도,43세,40362,21080,19282
경상북도,44세,42087,21626,20461
경상북도,45세,42455,22525,19930
경상북도,46세,44102,23355,20747
경상북도,47세,44151,23099,21052
경상북도,48세,45492,23821,21671
경상북도,49세,47537,24674,22863
경상북도,50세,43944,22281,21663
경상북도,51세,42886,23149,19737
경상북도,52세,44665,22778,21887
경상북도,53세,43652,22691,20961
경상북도,54세,42703,22153,20550
경상북도,55세,48431,25151,23280
경상북도,56세,51418,26281,25137
경상북도,57세,50549,25355,25194
경상북도,58세,50258,24892,25366
경상북도,59세,42980,21870,21110
경상북도,60세,44353,22688,21665
경상북도,61세,41751,21042,20709
경상북도,62세,41864,20387,21477
경상북도,63세,36599,18372,18227
경상북도,64세,34394,16772,17622
경상북도,65세,36869,17711,19158
경상북도,66세,28878,14054,14824
경상북도,67세,28240,13740,14500
경상북도,68세,29651,14600,15051
경상북도,69세,29552,14376,15176
경상북도,70세,27894,13348,14546
경상북도,71세,19520,9295,10225
경상북도,72세,18221,8193,10028
경상북도,73세,22179,9424,12755
경상북도,74세,24581,10239,14342
경상북도,75세,29753,12384,17369
경상북도,76세,23268,9395,13873
경상북도,77세,21560,8433,13127
경상북도,78세,23252,8943,14309
경상북도,79세,19886,7371,12515
경상북도,80세,18310,6614,11696
경상북도,81세,17339,6091,11248
경상북도,82세,16255,5482,10773
경상북도,83세,14225,4628,9597
경상북도,84세,11453,3561,7892
경상북도,85세,10536,3163,7373
경상북도,86세,8113,2253,5860
경상북도,87세,6990,1771,5219
경상북도,88세,5676,1464,4212
경상북도,89세,4891,1128,3763
경상북도,90세,4003,928,3075
경상북도,91세,2712,588,2124
경상북도,92세,2251,490,1761
경상북도,93세,1572,344,1228
